customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RF_SCORE,segment
cc294636-19f0-11eb-8d74-000d3a38a36f,-0.38205761859388954,-0.005222488635912346,0.2101071837705789,3,4,4,34,loyal_customers
f431bd5a-ab7b-11e9-a2fc-000d3a38a36f,-0.2852321007983309,3.3684628828061016,1.4097993014060246,3,5,5,35,loyal_customers
69b69676-1a40-11ea-941b-000d3a38a36f,0.49905459334569413,-0.005222488635912346,-0.1853116419837915,2,4,3,24,at_Risk
1854e56c-491f-11eb-806e-000d3a38a36f,0.00524445258834506,-0.6377884957812899,-0.7028015810129895,3,1,1,31,about_to_sleep
d6ea1074-f1f5-11e9-9346-000d3a38a36f,-0.46920058460989233,-0.6377884957812899,-0.604508088978977,3,1,1,31,about_to_sleep
e585280e-aae1-11e9-a2fc-000d3a38a36f,-0.5272958952872275,-0.42693316006616405,-0.6146937116053852,4,2,1,42,potential_loyalists
c445e4ee-6242-11ea-9d1a-000d3a38a36f,0.8863566645279287,-0.2160778243510382,-0.4191677298942777,2,3,2,23,at_Risk
3f1b4dc8-8a7d-11ea-8ec0-000d3a38a36f,1.5350876337581716,-0.6377884957812899,-0.6562738355506902,1,1,1,11,hibernating
cfbda69e-5b4f-11ea-aca7-000d3a38a36f,-0.46920058460989233,-0.005222488635912346,0.33890170145450493,3,4,5,34,loyal_customers
1143f032-440d-11ea-8b43-000d3a38a36f,1.0219123894417108,-0.6377884957812899,-0.6536715876647766,1,1,1,11,hibernating
ae608ece-c9d8-11ea-a31e-000d3a38a36f,1.7093735657901772,-0.6377884957812899,-0.7106083246707301,1,1,1,11,hibernating
c2e15af2-9eed-11e9-9897-000d3a38a36f,-1.1760268645174705,3.1576075470909757,2.3569393527575113,5,5,5,55,champions
2854f11a-0185-11ea-a5e8-000d3a38a36f,-0.8371375522330151,-0.2160778243510382,-0.4900650242280934,4,3,2,43,potential_loyalists
ec6c382a-3e97-11ea-a823-000d3a38a36f,0.12143507394301543,-0.2160778243510382,-0.21605837344267542,2,3,3,23,at_Risk
241f0ad0-afb5-11e9-9757-000d3a38a36f,-1.282534934092585,4.001028889951479,4.089935928763158,5,5,5,55,champions
13ed97a4-b167-11e9-89fa-000d3a38a36f,1.4866748748603924,0.6273435185094652,0.20227810322111375,1,5,4,15,cant_loose
d9b77226-a509-11e9-a2fc-000d3a38a36f,0.653975421818588,-0.005222488635912346,-0.2859058338654358,2,4,3,24,at_Risk
efb82ba4-aaba-11e9-a2fc-000d3a38a36f,-0.023803202750322532,-0.2160778243510382,0.1536953637201531,3,3,4,33,need_attention
1ee5ae66-7237-11eb-aa44-000d3a38a36f,-0.8080898968943476,-0.6377884957812899,-0.540691589321853,4,1,1,41,promising
2730793e-3908-11ea-85d6-000d3a38a36f,2.0579454298541884,-0.6377884957812899,-0.48723940742493405,1,1,2,11,hibernating
4da5c2ba-403b-11ea-aa6b-000d3a38a36f,-0.062533409868546,-0.6377884957812899,-0.7162037160477372,3,1,1,31,about_to_sleep
7b289956-d691-11e9-93bc-000d3a38a36f,0.50873714512525,-0.42693316006616405,-0.02297828137540932,2,2,4,22,hibernating
1a9b39d8-40ac-11ea-9be8-000d3a38a36f,2.24191391366575,-0.6377884957812899,-0.5933508115625494,1,1,1,11,hibernating
4fbb0cbe-9085-11ea-af25-000d3a38a36f,-0.11094616876632532,-0.6377884957812899,-0.568244145264122,3,1,1,31,about_to_sleep
d1fabf76-7171-11eb-a3e2-000d3a38a36f,-1.0211060360445765,-0.2160778243510382,0.39683243014220204,5,3,5,53,potential_loyalists
6ff327d4-b0e1-11e9-9757-000d3a38a36f,-0.014120650970766669,-0.42693316006616405,-0.45097546371007907,3,2,2,32,about_to_sleep
7e7732ae-2d78-11eb-8062-000d3a299ebf,-0.7596771379965682,-0.6377884957812899,-0.24451557349978986,4,1,3,41,promising
c1f8f878-9f35-11e9-9897-000d3a38a36f,-0.41110527393255714,-0.2160778243510382,-0.6928616641955516,3,3,1,33,need_attention
5e1830d8-9e24-11e9-9897-000d3a38a36f,0.09238741860434785,-0.42693316006616405,-0.3158149318846479,3,2,3,32,about_to_sleep
a46cc34a-a19f-11e9-a2fc-000d3a38a36f,0.47968948978658243,-0.6377884957812899,-0.6424808049107623,2,1,1,21,hibernating
1618f596-130a-11ea-a001-000d3a38a36f,-0.8080898968943476,-0.005222488635912346,0.09110739310788098,4,4,4,44,loyal_customers
c864868a-5134-11ea-99ba-000d3a38a36f,1.0703251483394902,-0.42693316006616405,-0.2505018604819771,1,2,3,12,hibernating
57b22f66-d6a3-11e9-93bc-000d3a38a36f,-0.2852321007983309,-0.005222488635912346,-0.01541724352663902,3,4,4,34,loyal_customers
fb840306-1219-11ea-a001-000d3a38a36f,-0.17872403122321637,0.6273435185094652,0.19253921842919702,3,5,4,35,loyal_customers
1acf7870-87af-11ea-ace9-000d3a38a36f,-0.3045972043574426,-0.6377884957812899,-0.5061029124863415,3,1,1,31,about_to_sleep
7a52fd46-5be8-11ea-a7c9-000d3a38a36f,1.8546118424835152,-0.6377884957812899,-0.687713010653036,1,1,1,11,hibernating
196e721a-d6d9-11e9-93bc-000d3a38a36f,1.5447701855377276,-0.6377884957812899,-0.6938556558772954,1,1,1,11,hibernating
3551e96c-5b40-11ea-8e0b-000d3a38a36f,-0.43047037749166883,-0.42693316006616405,-0.040602088946102476,3,2,4,32,about_to_sleep
80c89c7a-d6dd-11e9-93bc-000d3a38a36f,-0.0334857545298784,-0.6377884957812899,-0.4582907957498789,3,1,2,31,about_to_sleep
280cd78c-f324-11e9-9346-000d3a38a36f,0.22794314351812994,-0.005222488635912346,-0.2505912080488754,2,4,3,24,at_Risk
6e47c6c2-4f49-11ea-99ba-000d3a38a36f,0.50873714512525,0.2056328470792135,0.3893830767520549,2,4,5,24,at_Risk
6a46e618-16f8-11ea-b4ec-000d3a38a36f,1.8158816353652918,2.1033308685153465,2.433711249614892,1,5,5,15,cant_loose
1e6a5e78-7a8a-11ea-8f20-000d3a38a36f,-0.3433274114756661,-0.005222488635912346,-0.10700966804327768,3,4,3,34,loyal_customers
6e19617c-f068-11ea-bde9-000d3a38a36f,-0.9049154146899062,-0.6377884957812899,-0.4872952496542455,4,1,2,41,promising
a9acbdcc-a872-11e9-a2fc-000d3a38a36f,1.6319131515537304,-0.005222488635912346,0.045171575276283155,1,4,4,14,at_Risk
d45e704c-b13c-11e9-9757-000d3a38a36f,1.941754808499518,-0.42693316006616405,0.3843572761140245,1,2,5,12,hibernating
45b1d028-1da7-11ea-8bf2-000d3a38a36f,1.3995319088443896,-0.6377884957812899,-0.5313771054727033,1,1,1,11,hibernating
09797cba-5b4a-11ea-8975-000d3a38a36f,-0.9630107253672414,-0.2160778243510382,0.1325534957028386,4,3,4,43,potential_loyalists
1eb32dea-a409-11e9-a2fc-000d3a38a36f,0.2666733506363534,-0.42693316006616405,-0.5352748930786425,2,2,1,22,hibernating
6925c836-ab8b-11e9-a2fc-000d3a38a36f,-0.9145979664694621,0.2056328470792135,-0.011966193755191562,4,4,4,44,loyal_customers
c109302c-f72c-11ea-a533-000d3a38a36f,0.3247686613136886,-0.42693316006616405,0.7781566772183628,2,2,5,22,hibernating
c7cd4332-20bb-11ea-97c9-000d3a38a36f,-0.9823758289263531,-0.2160778243510382,-0.2374794526065472,5,3,3,53,potential_loyalists
